,id_sampl,Survey,strata,psu,DTM.Round,Place.ID,Governorate,District,Location.Name,Arabic.Name,Latitude,Longitude,pop,COD_Subdistrict,COD_Governorate,SumDist,proba,survey_buffer
135,id_1763,6,Kerbela,2503017,109,25484,Kerbala,Kerbala,Al Askary-Al haidery,العسكري-مجمع الحيدري,32.6467644,43.9702042,115,Markaz Kerbela,Kerbala,2449,0.046957942,7
136,id_177,6,Erbil,1202010,109,12370,Erbil,Erbil,Bahrka center,مركز بحركة,36.314392,44.0326269,500,Markaz Erbil,Erbil,26281,0.019025151,7
137,id_1779,6,Kerbela,2503049,109,25550,Kerbala,Kerbala,Al Amam Al Montadar,الامام المنتظر,32.6349564,43.9851864,10,Markaz Kerbela,Kerbala,2449,0.004083299,7
138,id_1784,6,Kerbela,2503064,109,24197,Kerbala,Kerbala,Al Kaim,القائم,32.59785744,44.002053,15,Markaz Kerbela,Kerbala,2449,0.006124949,7
139,id_1790,6,Kerbela,2503074,109,22532,Kerbala,Kerbala,Al Qadissiya 2,القادسية 2,32.6421869,43.9829178,14,Markaz Kerbela,Kerbala,2449,0.005716619,7
140,id_1791,12,Kerbela,2503076,109,22786,Kerbala,Kerbala,Al Rawdhatain,الروضتين ,32.6201625,44.0179115,22,Markaz Kerbela,Kerbala,2449,0.008983258,13
141,id_1810,6,Kerbela,2503126,109,14286,Kerbala,Kerbala,Al-Rafedeen,الرافدين,32.60514638,43.96660231,14,Markaz Kerbela,Kerbala,2449,0.005716619,7
142,id_1811,18,Kerbela,2503127,109,24285,Kerbala,Kerbala,Al-Safiya 2,الصافية 2,32.65702365,44.04849646,490,Al-Hassainya,Kerbala,2449,0.200081666,19
143,id_1833,6,Kerbela,2503170,109,14134,Kerbala,Kerbala,Hay Al-Abbas,حي العباس,32.6370344,44.0495111,24,Markaz Kerbela,Kerbala,2449,0.009799918,7
144,id_1841,6,Kerbela,2503196,109,14067,Kerbala,Kerbala,Hay al-tahady,حي التحدي,32.59799467,44.00487123,15,Markaz Kerbela,Kerbala,2449,0.006124949,7
145,id_1844,6,Kerbela,2503203,109,25263,Kerbala,Kerbala,Kantraat Al Salam,كنطرة السلام,32.6045284,44.0619553,48,Markaz Kerbela,Kerbala,2449,0.019599837,7
146,id_1853,6,Kerbela,2503220,109,25735,Kerbala,Kerbala,Al-hadi,الهادي,32.6006572,44.040434,35,Markaz Kerbela,Kerbala,2449,0.014291548,7
147,id_1857,6,Kerbela,2503227,109,14281,Kerbala,Kerbala,Mulhaq Al-Intisar,ملحق الانتصار,32.6069421,44.0412892,53,Markaz Kerbela,Kerbala,2449,0.021641486,7
148,id_1868,6,Kerbela,2503252,109,22087,Kerbala,Kerbala,Hay al mostafa,حي المصطفى,32.5901658,44.0471379,15,Markaz Kerbela,Kerbala,2449,0.006124949,7
149,id_1875,3,Daquq,2602005,109,14786,Kirkuk,Daquq,Fareeq Awa,حي فريق اوه,35.13463604,44.43581851,74,Markaz Daquq,Kirkuk,1031,0.071774976,4
150,id_1876,11,Daquq,2602007,109,21453,Kirkuk,Daquq,Hay Ashti,حي آشتي,35.14922041,44.43842734,113,Markaz Daquq,Kirkuk,1031,0.109602328,12
151,id_1879,6,Kirkuk,2602010,109,25738,Kirkuk,Daquq,Laylan-Al Abadat village,قرية العبادات,35.27984055,44.35708387,57,Taza Khormato,Kirkuk,13581,0.00419704,7
152,id_1880,5,Daquq,2602011,109,25739,Kirkuk,Daquq,Laylan-Bash Bulaq village,قرية باش بولاق,35.25255176,44.39490109,120,Markaz Daquq,Kirkuk,1031,0.116391853,6
